# 6x6 grid, nodes: id,cell
11,11
12,12
13,13
14,14
15,15
16,16
21,21
22,22
23,23
24,24
25,25
26,26
31,31
32,32
33,33
34,34
35,35
36,36
41,41
42,42
43,43
44,44
45,45
46,46
51,51
52,52
53,53
54,54
55,55
56,56
61,61
62,62
63,63
64,64
65,65
66,66
# edges
11,12,1
12,13,1
13,14,1
14,15,1
15,16,1
21,22,1
22,23,1
23,24,1
24,25,1
25,26,1
31,32,1
32,33,1
33,34,1
34,35,1
35,36,1
41,42,1
42,43,1
43,44,1
44,45,1
45,46,1
51,52,1
52,53,1
53,54,1
54,55,1
55,56,1
61,62,1
62,63,1
63,64,1
64,65,1
65,66,1
# vertical edges
11,21,1
21,31,1
31,41,1
41,51,1
51,61,1
12,22,1
22,32,1
32,42,1
42,52,1
52,62,1
13,23,1
23,33,1
33,43,1
43,53,1
53,63,1
14,24,1
24,34,1
34,44,1
44,54,1
54,64,1
15,25,1
25,35,1
35,45,1
45,55,1
55,65,1
16,26,1
26,36,1
36,46,1
46,56,1
56,66,1
# extra edges
11,66,10
16,61,9
# source and destination
S,11
D,66
